caps: steps<= 100,000,000  sim_timeout=30.0s  cc_timeout=20.0s
name                     refexit   got      status    asm#         steps     sec
------------------------------------------------------------------------------------
p01_const.tc                 184   184        PASS      42         1,128    0.04
p02_dead_code.tc              86    86        PASS      80         4,528    0.05
p03_copy.tc                  191   191        PASS      49         2,434    0.04
p04_common_subexpr.tc        140   140        PASS     137        54,036    0.09
p05_algebra.tc                56    56        PASS      70        35,032    0.06
p06_tail_recursion.tc        228   228        PASS     128       170,414    0.21
p07_loop.tc                  120   120        PASS      48       150,030    0.20
p08_basic_combined.tc         16    16        PASS     102       445,028    0.41
p09_advanced_graph.tc          4     4        PASS     146        19,263    0.03
p10_advanced_matrix.tc       123   123        PASS     124     2,271,208    0.82
p11_global_const_prop.tc     224   224        PASS      93       270,028    0.23
p12_const_expr_chain.tc      164   164        PASS      90       110,076    0.06
p13_fib_recursive.tc          32    32        PASS      69     3,676,214    2.79
p14_modpow.tc                  1     1        PASS     126         4,402    0.05
p15_ackermann.tc             253   253        PASS     105     1,421,808    1.09
p16_collatz.tc                67    67        PASS     110         2,412    0.04
p17_loop_pow.tc               64    64        PASS      56     2,500,028    1.32
p18_nested_loop.tc           160   160        PASS      75       842,838    0.50
p19_gcd_pairs.tc              64    64        PASS     108       720,227    0.55
p20_newton_sqrt.tc           100   100        PASS     112         2,906    0.04
p21_tribonacci.tc            193   193        PASS      81       960,678    0.75
p22_branch_storm.tc          222   222        PASS     134     4,816,696    3.08
p23_hoist_chain.tc           128   128        PASS     351        49,696    0.07
p24_div_optim.tc              48    48        PASS      93     3,099,966    1.84
p25_inst_combine.tc           88    88        PASS     123     4,400,028    2.82
p26_dce_chain.tc              80    80        PASS      65     3,000,028    1.76
------------------------------------------------------------------------------------
PASS 26/26
