caps: steps<= 100,000,000  sim_timeout=30.0s  cc_timeout=20.0s
name                     refexit   got      status    asm#         steps     sec
------------------------------------------------------------------------------------
p01_const.tc                 184   184        PASS      42         1,128    0.04
p02_dead_code.tc              86    86        PASS      82         4,728    0.02
p03_copy.tc                  191   191        PASS      50         2,435    0.04
p04_common_subexpr.tc        140   140        PASS     143        57,036    0.08
p05_algebra.tc                56    56        PASS      77        42,032    0.06
p06_tail_recursion.tc        228   228        PASS     129       170,415    0.20
p07_loop.tc                  120   120        PASS      50       170,030    0.09
p08_basic_combined.tc         16    16        PASS     104       460,028    0.36
p09_advanced_graph.tc          4     4        PASS     151        19,330    0.04
p10_advanced_matrix.tc       123   123        PASS     129     2,463,210    1.00
p11_global_const_prop.tc     224   224        PASS      94       275,028    0.23
p12_const_expr_chain.tc      164   164        PASS      98       110,084    0.06
p13_fib_recursive.tc          32    32        PASS      69     3,676,214    2.73
p14_modpow.tc                  1     1        PASS     131         4,834    0.05
p15_ackermann.tc             253   253        PASS     105     1,421,808    1.10
p16_collatz.tc                67    67        PASS     114         2,630    0.04
p17_loop_pow.tc               64    64        PASS      61     3,000,028    1.69
p18_nested_loop.tc           160   160        PASS      79     1,002,838    0.50
p19_gcd_pairs.tc              64    64        PASS     110       768,955    0.60
p20_newton_sqrt.tc           100   100        PASS     114         3,056    0.03
p21_tribonacci.tc            193   193        PASS      81       960,678    0.73
p22_branch_storm.tc          222   222        PASS     142     5,216,696    3.05
p23_hoist_chain.tc           128   128        PASS     430        65,496    0.09
p24_div_optim.tc              48    48        PASS     102     3,549,957    2.22
p25_inst_combine.tc           88    88        PASS     123     4,400,028    2.77
p26_dce_chain.tc              80    80        PASS      65     3,000,028    1.75
------------------------------------------------------------------------------------
PASS 26/26
